intent_code,value_code,start_val,end_val
1,1,1,1.0
1,2,2,2.0
1,3,3,4.0
1,4,1,4.0
1,5,1,1.0
2,1,1,1.5
2,2,2,3.5
2,3,4,5.0
2,4,1,5.0
2,5,4,5.0
