name,code,value_code,value_name,Unnamed: 4,Unnamed: 5
Spanish,4,405.0,Latin,,
Venezuela,4,405.0,Latin,,
argentina,4,405.0,Latin,,
argentine,4,405.0,Latin,,
argentinian,4,405.0,Latin,,
bolivia,4,405.0,Latin,,
bolivian,4,405.0,Latin,,
brasil,4,405.0,Latin,,
brasilian,4,405.0,Latin,,
brazil,4,405.0,Latin,,
brazilian,4,405.0,Latin,,
columbia,4,405.0,Latin,,
columbian,4,405.0,Latin,,
costa-rica,4,405.0,Latin,,
cuba,4,405.0,Latin,,
cuban,4,405.0,Latin,,
havana,4,405.0,Latin,,
panama,4,405.0,Latin,,
peru,4,405.0,Latin,,
peruan,4,405.0,Latin,,
portugal,4,405.0,Latin,,
portuguese,4,405.0,Latin,,
puerto,4,405.0,Latin,,
puertorican,4,405.0,Latin,,
puertorrico,4,405.0,Latin,,
spanish,4,405.0,Latin,,
venezuela,4,405.0,Latin,,
Korea,4,406.0,Korean,,
Korean,4,406.0,Korean,,
korea,4,406.0,Korean,,
korean,4,406.0,Korean,,
Seoul,4,406.0,Korean,,
seoul,4,406.0,Korean,,
Japan,4,407.0,Japanese,,
Japanese,4,407.0,Japanese,,
japan,4,407.0,Japanese,,
japanese,4,407.0,Japanese,,
Tokyo,4,407.0,Japanese,,
tokyo,4,407.0,Japanese,,
Italian,4,408.0,Italian,,
Italy,4,408.0,Italian,,
italian,4,408.0,Italian,,
italy,4,408.0,Italian,,
Florence,4,408.0,Italian,,
Milan,4,408.0,Italian,,
Napoli,4,408.0,Italian,,
Napolitan,4,408.0,Italian,,
Roman,4,408.0,Italian,,
Rome,4,408.0,Italian,,
florence,4,408.0,Italian,,
milan,4,408.0,Italian,,
napoli,4,408.0,Italian,,
napolitan,4,408.0,Italian,,
roman,4,408.0,Italian,,
rome,4,408.0,Italian,,
India,4,409.0,Indian,,
Indian,4,409.0,Indian,,
india,4,409.0,Indian,,
indian,4,409.0,Indian,,
Delhi,4,409.0,Indian,,
Mumbai,4,409.0,Indian,,
New-Delhi,4,409.0,Indian,,
Pakistan,4,409.0,Indian,,
Pakistani,4,409.0,Indian,,
delhi,4,409.0,Indian,,
mumbai,4,409.0,Indian,,
new-delhi,4,409.0,Indian,,
pakistan,4,409.0,Indian,,
pakistani,4,409.0,Indian,,
Aegean,4,410.0,Greece,,
Greece,4,410.0,Greece,,
Greek,4,410.0,Greece,,
aegean,4,410.0,Greek,,
greece,4,410.0,Greek,,
greek,4,410.0,Greek,,
Athens,4,410.0,Greek,,
athens,4,410.0,Greek,,
France,4,411.0,French,,
French,4,411.0,French,,
france,4,411.0,French,,
french,4,411.0,French,,
Normandy,4,411.0,French,,
Paris,4,411.0,French,,
normandy,4,411.0,French,,
paris,4,411.0,French,,
China,4,412.0,Chinese,,
Chinese,4,412.0,Chinese,,
china,4,412.0,Chinese,,
chinese,4,412.0,Chinese,,
Beijing,4,412.0,Chinese,,
Cajun,4,412.0,Chinese,,
Cantonese,4,412.0,Chinese,,
Sechuan,4,412.0,Chinese,,
Sichuan,4,412.0,Chinese,,
beijing,4,412.0,Chinese,,
cajun,4,412.0,Chinese,,
cantonese,4,412.0,Chinese,,
sechuan,4,412.0,Chinese,,
sichuan,4,412.0,Chinese,,
Caribbean,4,413.0,Caribbean,,
caribbean,4,413.0,Caribbean,,
Jamaica,4,413.0,Caribbean,,
Jamaican,4,413.0,Caribbean,,
jamaica,4,413.0,Caribbean,,
jamaican,4,413.0,Caribbean,,
Asia,4,414.0,Asian Fusion,,
Asian Fusion,4,414.0,Asian Fusion,,
Asian,4,414.0,Asian Fusion,,
asia,4,414.0,Aasian Fusion,,
asian fusion,4,414.0,Aasian Fusion,,
asian,4,414.0,Aasian Fusion,,
America,4,415.0,American,,
American,4,415.0,American,,
North America,4,415.0,American,,
USA,4,415.0,American,,
United States,4,415.0,American,,
america,4,415.0,American,,
american,4,415.0,American,,
north america,4,415.0,American,,
usa,4,415.0,American,,
united states,4,415.0,American,,
Midwest,4,415.0,American,,
Texan,4,415.0,American,,
Texas,4,415.0,American,,
York,4,415.0,American,,
Yorker,4,415.0,American,,
midwest,4,415.0,American,,
texan,4,415.0,American,,
texas,4,415.0,American,,
york,4,415.0,American,,
yorker,4,415.0,American,,
Africa,4,499.0,,,
African,4,499.0,,,
Australia,4,499.0,,,
Australian,4,499.0,,,
Bengali,4,499.0,,,
Berlin,4,499.0,,,
Berliner,4,499.0,,,
British,4,499.0,,,
Bulgarian,4,499.0,,,
Burgundy,4,499.0,,,
Danish,4,499.0,,,
England,4,499.0,,,
English,4,499.0,,,
Ethiopian,4,499.0,,,
European,4,499.0,,,
Filipino,4,499.0,,,
Frankfurt,4,499.0,,,
Frankfurter,4,499.0,,,
German,4,499.0,,,
Indonesian,4,499.0,,,
Ireland,4,499.0,,,
Irish,4,499.0,,,
Jewish,4,499.0,,,
London,4,499.0,,,
Londonian,4,499.0,,,
Malaysia,4,499.0,,,
Malaysian,4,499.0,,,
Munchen,4,499.0,,,
Munchener,4,499.0,,,
Poland,4,499.0,,,
Polish,4,499.0,,,
Romania,4,499.0,,,
Romanian,4,499.0,,,
Russia,4,499.0,,,
Russian,4,499.0,,,
Scottish,4,499.0,,,
